store_id,timestamp_utc,status
1,2023-04-17T06:09:50Z,inactive
1,2023-04-17T05:36:52Z,active
1,2023-04-18T05:46:30Z,active
1,2023-04-18T06:16:41Z,inactive
1,2023-04-19T05:30:07Z,inactive
1,2023-04-19T06:05:26Z,inactive
1,2023-04-19T05:31:39Z,inactive
1,2023-04-19T05:49:07Z,inactive
1,2023-04-19T06:21:18Z,inactive
1,2023-04-20T06:29:13Z,inactive
1,2023-04-20T05:37:21Z,inactive
1,2023-04-20T05:47:33Z,inactive
1,2023-04-20T05:43:12Z,inactive
1,2023-04-20T06:23:37Z,inactive
1,2023-04-20T06:28:48Z,inactive
1,2023-04-20T06:08:31Z,inactive
1,2023-04-21T06:10:41Z,inactive
1,2023-04-21T05:52:42Z,inactive
1,2023-04-21T06:25:52Z,inactive
1,2023-04-21T06:15:41Z,inactive
1,2023-04-21T06:18:36Z,inactive
1,2023-04-21T05:41:58Z,inactive
1,2023-04-21T05:52:21Z,active
1,2023-04-21T05:57:38Z,inactive
1,2023-04-21T06:01:21Z,inactive
1,2023-04-21T05:57:25Z,inactive
1,2023-04-21T05:36:11Z,inactive
1,2023-04-21T05:50:45Z,active
1,2023-04-21T05:37:42Z,inactive
1,2023-04-21T05:54:31Z,inactive
1,2023-04-22T05:36:04Z,inactive
1,2023-04-22T06:01:16Z,inactive
1,2023-04-22T06:25:35Z,active
1,2023-04-22T06:27:27Z,active
1,2023-04-22T06:18:44Z,active
1,2023-04-22T06:17:42Z,inactive
1,2023-04-22T05:46:10Z,active
1,2023-04-22T06:07:14Z,inactive
1,2023-04-22T05:48:00Z,inactive
1,2023-04-22T06:27:55Z,inactive
1,2023-04-22T06:11:42Z,active
1,2023-04-22T05:50:34Z,inactive
1,2023-04-22T06:00:12Z,active
1,2023-04-22T06:22:34Z,inactive
1,2023-04-22T06:08:44Z,inactive
1,2023-04-22T05:57:59Z,inactive
1,2023-04-22T05:58:19Z,inactive
1,2023-04-22T05:58:35Z,active
1,2023-04-22T06:02:59Z,inactive
1,2023-04-23T05:46:44Z,active
1,2023-04-23T06:19:51Z,inactive
1,2023-04-23T05:57:57Z,inactive
1,2023-04-23T06:00:02Z,inactive
1,2023-04-23T06:00:17Z,inactive
1,2023-04-23T05:32:48Z,active
1,2023-04-23T06:04:00Z,active
1,2023-04-23T06:06:23Z,inactive
1,2023-04-23T05:59:34Z,inactive
1,2023-04-23T06:01:05Z,inactive
1,2023-04-23T05:59:47Z,inactive
1,2023-04-23T06:27:52Z,inactive
1,2023-04-23T05:49:05Z,inactive
1,2023-04-23T05:34:17Z,inactive
1,2023-04-23T05:39:22Z,active
1,2023-04-23T06:02:02Z,inactive
1,2023-04-23T06:03:43Z,inactive
1,2023-04-23T05:44:15Z,active
1,2023-04-23T06:11:41Z,active
1,2023-04-23T05:44:26Z,inactive
1,2023-04-23T06:27:59Z,inactive
1,2023-04-24T05:45:05Z,active
1,2023-04-24T06:04:14Z,inactive
1,2023-04-24T05:58:07Z,inactive
1,2023-04-24T06:25:25Z,inactive
1,2023-04-24T06:29:14Z,inactive
1,2023-04-24T05:53:05Z,active
1,2023-04-25T05:40:43Z,inactive
1,2023-04-25T05:55:38Z,inactive
1,2023-04-25T05:52:34Z,inactive
1,2023-04-25T06:04:35Z,inactive
1,2023-04-25T05:57:31Z,inactive
1,2023-04-25T06:16:50Z,inactive
1,2023-04-25T05:34:24Z,inactive
1,2023-04-25T06:09:48Z,inactive
1,2023-04-25T06:00:13Z,inactive
1,2023-04-25T06:25:45Z,active
1,2023-04-25T06:02:04Z,inactive
1,2023-04-25T06:21:54Z,active
1,2023-04-25T05:43:22Z,inactive
1,2023-04-25T06:05:01Z,inactive
1,2023-04-26T05:54:25Z,active
1,2023-04-26T06:23:26Z,inactive
1,2023-04-26T05:46:32Z,inactive
1,2023-04-26T05:43:58Z,inactive
1,2023-04-26T05:48:53Z,active
1,2023-04-26T05:48:52Z,active
1,2023-04-26T05:38:20Z,inactive
1,2023-04-26T05:50:39Z,inactive
1,2023-04-26T06:06:00Z,inactive
1,2023-04-26T05:44:15Z,inactive
1,2023-04-26T05:31:50Z,active
1,2023-04-26T06:04:54Z,inactive
1,2023-04-26T05:45:51Z,inactive
1,2023-04-26T06:20:40Z,inactive
1,2023-04-26T06:10:49Z,inactive
1,2023-04-26T05:41:57Z,inactive
1,2023-04-26T06:19:45Z,inactive
1,2023-04-26T05:41:58Z,inactive
1,2023-04-27T05:53:15Z,inactive
1,2023-04-27T05:33:33Z,active
1,2023-04-27T05:46:55Z,inactive
1,2023-04-27T06:06:28Z,inactive
1,2023-04-27T06:00:25Z,inactive
1,2023-04-27T06:03:17Z,inactive
1,2023-04-28T05:36:14Z,inactive
1,2023-04-29T05:33:02Z,inactive
1,2023-04-29T06:25:26Z,inactive
1,2023-04-29T06:10:05Z,inactive
1,2023-04-29T06:26:52Z,inactive
1,2023-04-29T05:38:39Z,inactive
1,2023-04-29T05:34:15Z,inactive
1,2023-04-29T06:29:54Z,inactive
1,2023-04-29T06:15:17Z,inactive
1,2023-04-29T06:20:27Z,inactive
1,2023-04-29T05:56:07Z,inactive
1,2023-04-29T06:23:16Z,inactive
1,2023-04-29T06:24:16Z,inactive
1,2023-04-29T06:23:09Z,inactive
1,2023-04-29T06:04:01Z,inactive
1,2023-04-29T06:15:00Z,inactive
1,2023-04-29T06:06:08Z,inactive
1,2023-04-29T06:16:13Z,inactive
1,2023-04-29T05:31:55Z,active
1,2023-04-30T05:34:05Z,active
1,2023-05-01T06:28:29Z,inactive
1,2023-05-01T05:48:19Z,inactive
1,2023-05-02T05:41:03Z,inactive
1,2023-05-02T05:54:59Z,inactive
1,2023-05-02T05:40:57Z,inactive
1,2023-05-02T05:37:15Z,inactive
1,2023-05-02T05:52:23Z,inactive
1,2023-05-02T05:58:26Z,inactive
1,2023-05-02T05:52:50Z,inactive
1,2023-05-02T06:16:56Z,active
1,2023-05-02T06:16:36Z,inactive
1,2023-05-02T06:26:57Z,inactive
1,2023-05-03T06:14:03Z,inactive
1,2023-05-03T05:40:01Z,inactive
1,2023-05-03T06:03:28Z,inactive
1,2023-05-03T06:24:46Z,inactive
1,2023-05-03T05:48:42Z,inactive
1,2023-05-03T06:29:02Z,active
1,2023-05-03T06:25:37Z,inactive
1,2023-05-03T05:31:53Z,inactive
1,2023-05-03T05:54:50Z,inactive
1,2023-05-03T05:52:35Z,active
1,2023-05-03T05:59:51Z,inactive
1,2023-05-03T06:23:03Z,active
1,2023-05-03T06:24:32Z,inactive
1,2023-05-03T06:21:38Z,inactive
